FIPS,State,YMTF, MTFPer ,YFTM, FTMPer ,YNB, NBPer ,YTR, YTRper ,NoTR, NoTRPer ,DK, DKPer ,DNAns, DNAPer ,TotSurveyed,StatePop,TRPop
1,Alabama,11, 0.0017 ,10, 0.0015 ,8, 0.0012 ,29, 0.0044 ,6501, 0.9841 ,24, 0.0036 ,52, 0.0079 ,6583,4780138,20985
2,Alaska,9, 0.0033 ,7, 0.0025 ,4, 0.0015 ,20, 0.0073 ,2718, 0.9855 ,9, 0.0033 ,11, 0.0040 ,2767,710249,5150
4,Arizona,10, 0.0012 ,13, 0.0016 ,8, 0.0010 ,31, 0.0038 ,7958, 0.9838 ,39, 0.0048 ,61, 0.0075 ,8059,6392288,24498
5,Arkansas,3, 0.0006 ,6, 0.0011 ,2, 0.0004 ,11, 0.0021 ,5289, 0.9868 ,21, 0.0039 ,39, 0.0073 ,5332,2916028,5984
6,California,18, 0.0015 ,22, 0.0018 ,12, 0.0010 ,52, 0.0044 ,11758, 0.9865 ,39, 0.0033 ,70, 0.0059 ,11901,37254523,162533
8,Colorado,14, 0.0016 ,18, 0.0020 ,9, 0.0010 ,41, 0.0046 ,8769, 0.9854 ,38, 0.0043 ,51, 0.0057 ,8889,5029316,23171
9,Connecticut,12, 0.0011 ,8, 0.0007 ,11, 0.0010 ,31, 0.0029 ,10527, 0.9830 ,19, 0.0018 ,132, 0.0123 ,10608,3574147,10346
10,Delaware,11, 0.0021 ,22, 0.0042 ,12, 0.0023 ,45, 0.0086 ,5068, 0.9685 ,57, 0.0109 ,63, 0.0120 ,5215,897934,7722
11,District of Columbia,3, 0.0007 ,11, 0.0025 ,8, 0.0018 ,22, 0.0050 ,4314, 0.9811 ,22, 0.0050 ,39, 0.0089 ,4380,601766,3011
12,Florida,37, 0.0024 ,32, 0.0021 ,8, 0.0005 ,77, 0.0051 ,14990, 0.9835 ,105, 0.0069 ,70, 0.0046 ,15249,18804580,94998
13,Georgia,23, 0.0025 ,12, 0.0013 ,13, 0.0014 ,48, 0.0052 ,9142, 0.9825 ,31, 0.0033 ,84, 0.0090 ,9269,9688709,49979
15,Hawaii,23, 0.0029 ,22, 0.0028 ,11, 0.0014 ,56, 0.0071 ,7785, 0.9853 ,19, 0.0024 ,41, 0.0052 ,7916,1360307,9641
16,Idaho,3, 0.0008 ,2, 0.0005 ,4, 0.0011 ,9, 0.0024 ,3661, 0.9905 ,9, 0.0024 ,17, 0.0046 ,3688,1567657,3817
17,Illinois,6, 0.0011 ,4, 0.0008 ,2, 0.0004 ,12, 0.0023 ,5256, 0.9910 ,9, 0.0017 ,27, 0.0051 ,5289,12831572,29031
18,Indiana,11, 0.0014 ,11, 0.0014 ,9, 0.0012 ,31, 0.0041 ,7475, 0.9825 ,34, 0.0045 ,68, 0.0089 ,7571,6484061,26420
19,Iowa,20, 0.0022 ,19, 0.0021 ,9, 0.0010 ,48, 0.0053 ,8980, 0.9839 ,31, 0.0034 ,68, 0.0075 ,9107,3046872,16024
20,Kansas,18, 0.0017 ,13, 0.0012 ,10, 0.0009 ,41, 0.0038 ,10700, 0.9887 ,15, 0.0014 ,66, 0.0061 ,10797,2853126,10809
21,Kentucky,17, 0.0020 ,14, 0.0016 ,8, 0.0009 ,39, 0.0046 ,8436, 0.9869 ,28, 0.0033 ,45, 0.0053 ,8542,4339333,19798
22,Louisiana,11, 0.0021 ,8, 0.0016 ,9, 0.0018 ,28, 0.0055 ,5051, 0.9856 ,8, 0.0016 ,38, 0.0074 ,5115,4533485,24768
23,Maine,16, 0.0015 ,22, 0.0020 ,11, 0.0010 ,49, 0.0045 ,10795, 0.9840 ,41, 0.0037 ,86, 0.0078 ,10934,1328369,5933
24,Maryland,20, 0.0011 ,18, 0.0010 ,23, 0.0013 ,61, 0.0035 ,17266, 0.9840 ,38, 0.0022 ,181, 0.0103 ,17426,5773798,20073
25,Massachusetts,8, 0.0012 ,15, 0.0022 ,4, 0.0006 ,27, 0.0040 ,6532, 0.9795 ,34, 0.0051 ,76, 0.0114 ,6620,6547790,26509
26,Michigan,15, 0.0015 ,17, 0.0016 ,17, 0.0016 ,49, 0.0047 ,10156, 0.9839 ,43, 0.0042 ,74, 0.0072 ,10297,9884117,46921
27,Minnesota,47, 0.0028 ,43, 0.0025 ,30, 0.0018 ,120, 0.0071 ,16731, 0.9848 ,57, 0.0034 ,82, 0.0048 ,17028,5303925,37462
28,Mississippi,4, 0.0007 ,19, 0.0033 ,3, 0.0005 ,26, 0.0044 ,5777, 0.9887 ,16, 0.0027 ,24, 0.0041 ,5845,2968118,13207
29,Missouri,4, 0.0006 ,10, 0.0016 ,5, 0.0008 ,19, 0.0030 ,6156, 0.9880 ,13, 0.0021 ,43, 0.0069 ,6207,5988952,18262
30,Montana,8, 0.0015 ,5, 0.0010 ,3, 0.0006 ,16, 0.0031 ,5121, 0.9867 ,15, 0.0029 ,38, 0.0073 ,5168,989409,3050
31,Nebraska,25, 0.0017 ,31, 0.0021 ,10, 0.0007 ,66, 0.0045 ,14427, 0.9859 ,51, 0.0035 ,90, 0.0062 ,14610,1826305,8237
32,Nevada,1, 0.0003 ,8, 0.0025 ,4, 0.0012 ,13, 0.0040 ,3194, 0.9913 ,5, 0.0016 ,10, 0.0031 ,3225,2700679,10897
33,New Hampshire,6, 0.0010 ,5, 0.0009 ,3, 0.0005 ,14, 0.0024 ,5648, 0.9845 ,28, 0.0049 ,47, 0.0082 ,5704,1316464,3213
34,New Jersey,3, 0.0010 ,5, 0.0016 ,2, 0.0006 ,10, 0.0032 ,3037, 0.9828 ,11, 0.0036 ,32, 0.0104 ,3068,8791962,28453
35,New Mexico,11, 0.0016 ,12, 0.0018 ,8, 0.0012 ,31, 0.0046 ,6615, 0.9854 ,32, 0.0048 ,35, 0.0052 ,6709,2059180,9509
36,New York,68, 0.0019 ,44, 0.0012 ,31, 0.0009 ,143, 0.0040 ,34928, 0.9765 ,251, 0.0070 ,445, 0.0124 ,35465,19378124,77476
37,North Carolina,4, 0.0008 ,7, 0.0015 ,3, 0.0006 ,14, 0.0030 ,4680, 0.9896 ,12, 0.0025 ,23, 0.0049 ,4720,9535736,28230
38,North Dakota,5, 0.0009 ,7, 0.0012 ,3, 0.0005 ,15, 0.0027 ,5543, 0.9859 ,21, 0.0037 ,43, 0.0076 ,5594,672576,1794
39,Ohio,25, 0.0020 ,45, 0.0035 ,6, 0.0005 ,76, 0.0060 ,12577, 0.9854 ,41, 0.0032 ,69, 0.0054 ,12770,11536757,68698
40,Oklahoma,5, 0.0010 ,8, 0.0015 ,8, 0.0015 ,21, 0.0040 ,5202, 0.9903 ,10, 0.0019 ,20, 0.0038 ,5254,3751583,14998
41,Oregon,18, 0.0030 ,6, 0.0010 ,7, 0.0012 ,31, 0.0052 ,5838, 0.9818 ,21, 0.0035 ,56, 0.0094 ,5921,3831075,19974
42,Pennsylvania,8, 0.0013 ,18, 0.0029 ,13, 0.0021 ,39, 0.0063 ,6121, 0.9852 ,15, 0.0024 ,38, 0.0061 ,6214,12702873,79738
44,Rhode Island,3, 0.0005 ,11, 0.0020 ,10, 0.0018 ,24, 0.0043 ,5505, 0.9818 ,13, 0.0023 ,65, 0.0116 ,5566,1052957,4507
45,South Carolina,14, 0.0013 ,17, 0.0016 ,6, 0.0006 ,37, 0.0034 ,10690, 0.9859 ,33, 0.0030 ,83, 0.0077 ,10797,4625381,15783
46,South Dakota,10, 0.0014 ,16, 0.0022 ,7, 0.0010 ,33, 0.0046 ,7002, 0.9834 ,22, 0.0031 ,63, 0.0088 ,7090,814198,3774
47,Tennessee,9, 0.0017 ,5, 0.0010 ,4, 0.0008 ,18, 0.0035 ,5098, 0.9880 ,15, 0.0029 ,29, 0.0056 ,5149,6346286,22138
48,Texas,14, 0.0012 ,19, 0.0017 ,15, 0.0013 ,48, 0.0043 ,11021, 0.9825 ,61, 0.0054 ,87, 0.0078 ,11178,25146114,107606
49,Utah,14, 0.0013 ,18, 0.0017 ,10, 0.0009 ,42, 0.0040 ,10405, 0.9850 ,42, 0.0040 ,74, 0.0070 ,10531,2763891,10990
50,Vermont,14, 0.0021 ,7, 0.0011 ,7, 0.0011 ,28, 0.0043 ,6421, 0.9812 ,11, 0.0017 ,84, 0.0128 ,6488,625744,2677
51,Virginia,18, 0.0017 ,21, 0.0020 ,10, 0.0010 ,49, 0.0047 ,10155, 0.9839 ,55, 0.0053 ,62, 0.0060 ,10308,8001055,37986
53,Washington,31, 0.0024 ,11, 0.0008 ,22, 0.0017 ,64, 0.0049 ,12909, 0.9839 ,49, 0.0037 ,98, 0.0075 ,13086,6724540,32803
54,West Virginia,6, 0.0012 ,4, 0.0008 ,6, 0.0012 ,16, 0.0033 ,4843, 0.9890 ,10, 0.0020 ,28, 0.0057 ,4885,1853001,6054
55,Wisconsin,2, 0.0004 ,5, 0.0010 ,1, 0.0002 ,8, 0.0016 ,4957, 0.9922 ,14, 0.0028 ,17, 0.0034 ,4987,5687282,9107
56,Wyoming,10, 0.0022 ,8, 0.0018 ,3, 0.0007 ,21, 0.0047 ,4398, 0.9857 ,17, 0.0038 ,26, 0.0058 ,4457,563773,2653
